transform,total_freq,label_ratio,impact_ratio,fail_num,pass_num,sus_score
"('insert', (), ('dep', 'dep', 'attr', 'attr', 'attr', 'dep'))",1,1.0,1.0,0,1,83.86023294509151
"('insert', (), ('dep', 'ROOT'))",10,1.0,0.1,0,10,48.57831325301205
"('insert', (), ('dep', 'npadvmod'))",7,1.0,0.14285714285714285,0,7,56.50224215246637
"('insert', (), ('dep', 'compound', 'pobj', 'punct', 'acl', 'npadvmod'))",1,1.0,1.0,0,1,83.86023294509151
"('insert', (), ('dep', 'compound', 'ROOT'))",1,1.0,1.0,0,1,83.86023294509151
"('insert', (), ('nmod',))",2,1.0,0.5,0,2,77.59815242494227
"('delete', ('compound',), ())",3,1.0,0.3333333333333333,0,3,72.20630372492836
"('replace', ('xcomp',), ('advcl',))",3,1.0,0.3333333333333333,0,3,72.20630372492836
"('replace', ('det', 'amod'), ('ROOT', 'amod'))",1,1.0,1.0,1,0,95.40937056318032
"('replace', ('ROOT',), ('dobj',))",2,1.0,0.5,1,1,91.22171945701358
"('replace', ('amod',), ('amod',))",15,1.0,0.06666666666666667,5,10,85.00351370344342
"('replace', ('pcomp',), ('det',))",1,1.0,1.0,1,0,95.40937056318032
"('replace', ('advmod', 'nsubj'), ('det', 'nsubj'))",1,1.0,1.0,0,1,83.86023294509151
"('replace', ('relcl',), ('advmod',))",1,1.0,1.0,0,1,83.86023294509151
"('replace', ('det',), ('advmod',))",2,1.0,0.5,0,2,77.59815242494227
"('insert', (), ('advmod',))",3,1.0,0.3333333333333333,0,3,72.20630372492836
"('delete', ('predet',), ())",1,1.0,1.0,0,1,83.86023294509151
"('replace', ('punct',), ('ROOT',))",1,1.0,1.0,0,1,83.86023294509151
"('replace', ('ROOT',), ('punct',))",1,1.0,1.0,0,1,83.86023294509151
"('replace', ('nummod', 'amod'), ('amod', 'amod'))",1,1.0,1.0,0,1,83.86023294509151
"('replace', ('relcl', 'nummod'), ('relcl', 'amod'))",1,1.0,1.0,0,1,83.86023294509151
"('insert', (), ('dep', 'amod', 'dep'))",1,1.0,1.0,0,1,83.86023294509151
"('insert', (), ('dep', 'appos', 'npadvmod', 'appos', 'appos', 'appos'))",1,1.0,1.0,0,1,83.86023294509151
"('insert', (), ('dep', 'amod', 'dobj', 'punct'))",1,1.0,1.0,0,1,83.86023294509151
"('insert', (), ('dep', 'ROOT', 'cc', 'advmod', 'advmod', 'conj', 'punct'))",2,1.0,0.5,0,2,77.59815242494227
"('replace', ('ROOT',), ('advmod', 'dep', 'npadvmod', 'prep', 'poss', 'pobj', 'punct'))",1,1.0,1.0,0,1,83.86023294509151
"('insert', (), ('nsubj', 'aux', 'neg', 'ROOT', 'det', 'nsubj', 'dep'))",1,1.0,1.0,0,1,83.86023294509151
"('replace', ('ROOT',), ('advmod',))",4,1.0,0.25,0,4,67.51507032819826
"('insert', (), ('dep', 'ROOT', 'det', 'nsubj', 'ccomp', 'punct'))",1,1.0,1.0,0,1,83.86023294509151
"('insert', (), ('dep', 'advmod', 'cc', 'advmod', 'advmod', 'conj', 'punct'))",2,1.0,0.5,0,2,77.59815242494227
"('replace', ('ROOT',), ('nsubj',))",10,1.0,0.1,0,10,48.57831325301205
"('insert', (), ('compound', 'ROOT', 'dep', 'appos'))",1,1.0,1.0,0,1,83.86023294509151
"('replace', ('pobj',), ('poss', 'pobj', 'punct'))",1,1.0,1.0,0,1,83.86023294509151
"('insert', (), ('compound', 'det', 'nmod', 'amod', 'pobj', 'prep', 'det', 'npadvmod', 'punct', 'amod', 'pobj', 'dep'))",1,1.0,1.0,0,1,83.86023294509151
"('insert', (), ('dep', 'nsubj', 'aux', 'neg', 'ROOT', 'det', 'dobj', 'punct'))",1,1.0,1.0,0,1,83.86023294509151
"('replace', ('compound', 'ROOT'), ('ROOT', 'compound', 'dep', 'prep', 'det', 'compound', 'compound', 'compound', 'pobj', 'punct'))",1,1.0,1.0,0,1,83.86023294509151
