transform,total_freq,label_ratio,impact_ratio,fail_num,pass_num,sus_score
"('insert', (), ('neutral', 'neutral', 'exclude', 'neutral', 'neutral', 'neutral'))",2,1.0,0.5,0,2,77.59815242494227
"('insert', (), ('neutral', 'neutral', 'neutral', 'exclude'))",1,1.0,1.0,0,1,83.86023294509151
"('replace', ('pos',), ('exclude', 'pos', 'neutral'))",1,1.0,1.0,0,1,83.86023294509151
"('insert', (), ('neutral', 'exclude', 'pos', 'neutral', 'neutral', 'exclude', 'exclude', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral'))",1,1.0,1.0,0,1,83.86023294509151
"('insert', (), ('neutral', 'exclude', 'exclude', 'exclude', 'exclude', 'exclude', 'neutral', 'neutral'))",1,1.0,1.0,0,1,83.86023294509151
"('replace', ('neutral', 'neg'), ('neutral', 'neutral', 'neutral', 'exclude', 'exclude', 'neutral', 'neutral', 'neutral', 'pos', 'neutral'))",1,1.0,1.0,0,1,83.86023294509151
"('insert', (), ('neutral', 'neutral', 'exclude', 'neutral', 'pos', 'neutral', 'neutral', 'neutral', 'pos', 'exclude', 'exclude', 'neutral', 'neutral', 'neutral', 'neutral'))",1,1.0,1.0,0,1,83.86023294509151
"('insert', (), ('neutral', 'exclude', 'neutral', 'exclude', 'neutral', 'neutral', 'exclude', 'exclude', 'exclude', 'exclude', 'exclude', 'exclude', 'neg', 'neutral'))",2,1.0,0.5,0,2,77.59815242494227
"('insert', (), ('neutral', 'neutral', 'exclude', 'neutral', 'neg', 'neutral'))",1,1.0,1.0,0,1,83.86023294509151
"('insert', (), ('neutral', 'neutral', 'neutral', 'exclude', 'neutral', 'neutral'))",1,1.0,1.0,0,1,83.86023294509151
"('insert', (), ('neutral', 'exclude', 'neutral', 'exclude', 'neutral', 'exclude', 'exclude', 'neutral', 'exclude', 'neutral', 'neutral', 'exclude', 'exclude', 'neutral', 'exclude', 'exclude', 'neutral', 'exclude', 'exclude', 'exclude', 'neutral', 'neutral', 'neutral'))",1,1.0,1.0,0,1,83.86023294509151
"('insert', (), ('neutral', 'neutral', 'exclude', 'pos', 'neutral', 'pos', 'exclude', 'neutral', 'neutral'))",1,1.0,1.0,0,1,83.86023294509151
"('insert', (), ('neutral', 'exclude', 'neutral', 'exclude', 'neutral', 'neutral', 'exclude', 'exclude', 'exclude', 'exclude', 'exclude', 'exclude', 'neutral', 'neutral'))",1,1.0,1.0,0,1,83.86023294509151
"('insert', (), ('exclude', 'exclude', 'neutral', 'neutral'))",1,1.0,1.0,0,1,83.86023294509151
"('insert', (), ('exclude', 'neutral', 'exclude', 'exclude', 'neutral', 'neutral', 'neutral', 'exclude', 'exclude', 'neutral', 'exclude', 'exclude', 'pos', 'neutral', 'neutral', 'exclude'))",1,1.0,1.0,0,1,83.86023294509151
"('replace', ('exclude', 'exclude'), ('neutral',))",1,1.0,1.0,0,1,83.86023294509151
"('insert', (), ('exclude', 'neutral', 'exclude', 'neutral', 'exclude', 'exclude', 'neutral', 'exclude', 'exclude', 'neutral', 'neutral', 'exclude', 'exclude', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'exclude', 'neutral', 'exclude', 'neutral', 'exclude', 'neutral', 'neutral'))",1,1.0,1.0,0,1,83.86023294509151
"('replace', ('exclude', 'neutral'), ('neutral',))",3,1.0,0.3333333333333333,1,2,87.38621586475944
"('replace', ('exclude', 'exclude', 'pos'), ('neutral',))",1,1.0,1.0,1,0,95.40937056318032
"('replace', ('neutral',), ('neutral', 'exclude', 'neg'))",1,1.0,1.0,1,0,95.40937056318032
"('delete', ('exclude', 'exclude', 'neutral'), ())",1,1.0,1.0,0,1,83.86023294509151
"('insert', (), ('exclude', 'neutral', 'exclude', 'neutral', 'neutral', 'exclude', 'neutral', 'neutral', 'neutral'))",1,1.0,1.0,0,1,83.86023294509151
"('delete', ('exclude', 'neutral'), ())",2,1.0,0.5,0,2,77.59815242494227
"('insert', (), ('exclude', 'neg', 'neutral', 'exclude', 'neutral', 'neutral', 'neg', 'exclude', 'neutral', 'neutral'))",1,1.0,1.0,0,1,83.86023294509151
"('replace', ('pos',), ('pos',))",2,1.0,0.5,0,2,77.59815242494227
"('replace', ('neg',), ('neutral', 'neutral', 'exclude', 'exclude', 'neutral', 'exclude', 'neg', 'neutral'))",1,1.0,1.0,0,1,83.86023294509151
"('replace', ('exclude', 'neg'), ('neutral', 'exclude'))",1,1.0,1.0,0,1,83.86023294509151
"('replace', ('neutral', 'neutral'), ('neutral', 'pos'))",1,1.0,1.0,0,1,83.86023294509151
"('insert', (), ('neutral', 'neutral', 'neutral', 'exclude', 'neutral', 'neutral', 'neutral', 'neutral'))",1,1.0,1.0,0,1,83.86023294509151
"('replace', ('neutral', 'pos'), ('neutral', 'neutral'))",1,1.0,1.0,0,1,83.86023294509151
"('replace', ('neutral', 'neutral'), ('neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'exclude', 'neutral', 'pos', 'neutral', 'neutral'))",1,1.0,1.0,0,1,83.86023294509151
